cpu_id,title,price,href,image
1,타이맥스 남성시계_TW4B14100,116700,https://prod.danawa.com/info/?pcode=98142020&keyword=14100&cate=18355271,https://img.danuri.io/catalog-image/020/142/098/e3b9a816c2334f2cb4642d15d04ff1ed.jpg
2,인텔 코어i3-14세대14100F(랩터레이크 리프레시),202540,https://prod.danawa.com/info/?pcode=32038895&keyword=14100F&cate=113973,https://img.danuri.io/catalog-image/895/038/032/4bbab872688149088c77e2cfb57b5182.jpg
3,쉬즈미스 스트라이프 오픈 카라 포켓 셔츠_SWWSTP12100,44100,https://prod.danawa.com/info/?pcode=78069698&keyword=12100&cate=18231898,https://img.danuri.io/catalog-image/698/069/078/93cecbb9c9e34d369e08d99a35313de1.jpg
4,인텔 코어i3-12세대12100F(엘더레이크),190000,https://prod.danawa.com/info/?pcode=16101179&keyword=12100F&cate=113973,https://img.danuri.io/catalog-image/179/101/016/3553c02b0a4741879e9cb2db39f0cddc.jpg
5,인텔 코어i5-12세대12400F (엘더레이크),224490,https://prod.danawa.com/info/?pcode=16101353&keyword=12400&cate=113973,https://img.danuri.io/catalog-image/353/101/016/a732b743674647feb96a624e6dfa582c.jpg
6,인텔 코어i5-12세대12400F(엘더레이크),224490,https://prod.danawa.com/info/?pcode=16101353&keyword=12400F&cate=113973,https://img.danuri.io/catalog-image/353/101/016/a732b743674647feb96a624e6dfa582c.jpg
7,인텔 코어i5-12세대12600K(엘더레이크),330000,https://prod.danawa.com/info/?pcode=15752468&keyword=12600K&cate=113973,https://img.danuri.io/catalog-image/468/752/015/f7380db6c9e640d9920fde916f88cba1.jpg
8,블루독베이비 백일//예쁜아기옷//PK/COZY체크프릴원피스 43A13-400-01,78410,https://prod.danawa.com/info/?pcode=26160329&keyword=13400&cate=16349342,https://img.danuri.io/catalog-image/329/160/026/82340c3e55634932a69b54f249a0313d.jpg
9,인텔 코어i5-13세대13400F(랩터레이크),232440,https://prod.danawa.com/info/?pcode=18702827&keyword=13400F&cate=113973,https://img.danuri.io/catalog-image/827/702/018/a4f0f5fa2ecb4864a06f6ddf0ae738bd.jpg
10,인텔 코어i5-13세대13600K(랩터레이크),385250,https://prod.danawa.com/info/?pcode=18169127&keyword=13600K&cate=113973,https://img.danuri.io/catalog-image/127/169/018/b7b14d8bea044f258d1a1021d20f4f8d.jpg
11,인텔 코어i5-14세대14400F (랩터레이크 리프레시),245860,https://prod.danawa.com/info/?pcode=76555634&keyword=14400&cate=113973,https://img.danuri.io/catalog-image/634/555/076/ab130cd78017482facccc38b49de78e5.jpg
12,인텔 코어i5-14세대14400F(랩터레이크 리프레시),245860,https://prod.danawa.com/info/?pcode=76555634&keyword=14400F&cate=113973,https://img.danuri.io/catalog-image/634/555/076/ab130cd78017482facccc38b49de78e5.jpg
13,인텔 코어i5-14세대14600K(랩터레이크 리프레시),429360,https://prod.danawa.com/info/?pcode=28799654&keyword=14600K&cate=113973,https://img.danuri.io/catalog-image/654/799/028/38b3d57cd5814fdb82f9f83ed3744db3.jpg
14,MSI PRO MP243L E14-700IPS 144 시력보호 게이밍 무결점,104500,https://prod.danawa.com/info/?pcode=104988854&keyword=14700,https://img.danuri.io/catalog-image/854/988/104/edb27362311640f3a043a18d2d6f697a.jpg
15,인텔 코어i7-14세대14700F(랩터레이크 리프레시),549990,https://prod.danawa.com/info/?pcode=32156936&keyword=14700F&cate=113973,https://img.danuri.io/catalog-image/936/156/032/8c5408962e284c9eb279b53934b68d84.jpg
16,인텔 코어i7-14세대14700K(랩터레이크 리프레시),603320,https://prod.danawa.com/info/?pcode=28920827&keyword=14700K&cate=113973,https://img.danuri.io/catalog-image/827/920/028/8437732d46bd4402bca8e5c7f1f9ed7c.jpg
17,인텔 코어i7-14세대14700KF(랩터레이크 리프레시),559000,https://prod.danawa.com/info/?pcode=28799498&keyword=14700KF&cate=113973,https://img.danuri.io/catalog-image/498/799/028/3f8b616dc99a4c3cb07a2c2d1eff9b37.jpg
18,MSI PRO MP243L E14-900IPS 144 시력보호 게이밍 무결점,90000,https://prod.danawa.com/info/?pcode=104988818&keyword=14900,https://img.danuri.io/catalog-image/818/988/104/0c72ca0d557e461e8b13f29c30f0d9d9.jpg
19,인텔 코어i9-14세대14900K(랩터레이크 리프레시),768000,https://prod.danawa.com/info/?pcode=28798964&keyword=14900K&cate=113973,https://img.danuri.io/catalog-image/964/798/028/96dc699919324998899285c7ad5dfc3e.jpg
20,인텔 코어i9-14세대14900KF(랩터레이크 리프레시),746790,https://prod.danawa.com/info/?pcode=28799180&keyword=14900KF&cate=113973,https://img.danuri.io/catalog-image/180/799/028/000c1a5a21c84f8396c37b39faf0a923.jpg
21,베셀 볼그립 전공 드라이버 십자225(PH2 x 100mm),6900,https://prod.danawa.com/info/?pcode=17931443&keyword=225&cate=14243294,https://img.danuri.io/catalog-image/443/931/017/213fa523c1124f02bb920666ff9a2e9e.jpg
22,인텔 코어 울트라5 시리즈2225F(애로우레이크),221600,https://prod.danawa.com/info/?pcode=74123111&keyword=225F&cate=113973,https://img.danuri.io/catalog-image/111/123/074/c3c593b37f8c42a2b1f2d040adc4025e.jpg
23,셀러허브 유아동 AGF225T아카데미 MP40 돌색 BB탄권총,9370,https://prod.danawa.com/info/?pcode=30179198&keyword=225T&cate=16249160,https://img.danuri.io/catalog-image/198/179/030/f46732beac7048958653e7576bf75428.jpg
24,스타스포츠 스타 더 폴라리스 2000H STAT-SB235H,4500,https://prod.danawa.com/info/?pcode=16882403&keyword=235&cate=1326319,https://img.danuri.io/catalog-image/403/882/016/42122f1396bc499fa98a61250f2096bb.jpg
25,스타스포츠 더 폴라리스 2000 5호 SB235TB,31200,https://prod.danawa.com/info/?pcode=7614931&keyword=235T&cate=1326319,https://img.danuri.io/catalog-image/931/614/007/9d6cd7d9ec2b4ba78b39265cb6a28356.jpg
26,동아오츠카 나랑드 사이다 제로245ml,290,https://prod.danawa.com/info/?pcode=1982464&keyword=245&cate=1623180,https://img.danuri.io/catalog-image/464/982/001/62d45516d995465a8b390bc80f1340a5.jpg
27,내셔널지오그래픽 키즈 로카 V2 K245KSN02,31670,https://prod.danawa.com/info/?pcode=108470525&keyword=245K&cate=16349161,https://img.danuri.io/catalog-image/525/470/108/39d2752fc09f471794fe265915a4367f.jpg
28,인텔 코어 울트라5 시리즈2245KF(애로우레이크),292990,https://prod.danawa.com/info/?pcode=69059771&keyword=245KF&cate=113973,https://img.danuri.io/catalog-image/771/059/069/0b801a077f3c4e5eac495bd1957e087a.jpg
29,인텔 코어 울트라5 시리즈2250KPlus (애로우레이크 리프레시),357400,https://prod.danawa.com/info/?pcode=108424451&keyword=250K&cate=113973,https://img.danuri.io/catalog-image/451/424/108/028b5a624a2040858e8e6fce9ae93d0d.jpg
30,키친아트 라팔 컴팩트 KM-250KF,24840,https://prod.danawa.com/info/?pcode=16049150&keyword=250KF&cate=103278,https://img.danuri.io/catalog-image/150/049/016/d4279973026444e59c534dff23812001.jpg
31,인텔 코어 울트라7 시리즈2270KPlus (애로우레이크 리프레시),512900,https://prod.danawa.com/info/?pcode=108424286&keyword=270K&cate=113973,https://img.danuri.io/catalog-image/286/424/108/99707b6716c34b4ca86d6b09e240bd54.jpeg
32,인텔 코어 울트라7 시리즈2265KF (애로우레이크),476000,https://prod.danawa.com/info/?pcode=69059723&keyword=265&cate=113973,https://img.danuri.io/catalog-image/723/059/069/0e0953994b2d48eebcdb524dc9b73469.jpg
