cpu_id,keyword,brand,series,benchmark,socket,price,href,image,performance_score,game_score,work_score,ai_score,value_score
25,235T,Intel,Core Ultra 5,31373,LGA1851,31200,https://prod.danawa.com/info/?pcode=7614931&keyword=235T&cate=1326319,https://img.danuri.io/catalog-image/931/614/007/9d6cd7d9ec2b4ba78b39265cb6a28356.jpg,74.57,74.57,75.84,75.11,60.3
26,245,Intel,Core Ultra 5,38616,LGA1851,290,https://prod.danawa.com/info/?pcode=1982464&keyword=245&cate=1623180,https://img.danuri.io/catalog-image/464/982/001/62d45516d995465a8b390bc80f1340a5.jpg,79.32,79.32,80.35,79.39,100.0
27,245K,Intel,Core Ultra 5,43109,LGA1851,31670,https://prod.danawa.com/info/?pcode=108470525&keyword=245K&cate=16349161,https://img.danuri.io/catalog-image/525/470/108/39d2752fc09f471794fe265915a4367f.jpg,82.27,82.27,83.16,82.04,60.4
28,245KF,Intel,Core Ultra 5,43103,LGA1851,292990,https://prod.danawa.com/info/?pcode=69059771&keyword=245KF&cate=113973,https://img.danuri.io/catalog-image/771/059/069/0b801a077f3c4e5eac495bd1957e087a.jpg,82.27,82.27,83.16,82.04,60.04
29,250K,Intel,Core Ultra 5,52314,LGA1851,357400,https://prod.danawa.com/info/?pcode=108424451&keyword=250K&cate=113973,https://img.danuri.io/catalog-image/451/424/108/028b5a624a2040858e8e6fce9ae93d0d.jpg,88.31,88.31,88.89,87.48,60.04
30,250KF,Intel,Core Ultra 5,48872,LGA1851,24840,https://prod.danawa.com/info/?pcode=16049150&keyword=250KF&cate=103278,https://img.danuri.io/catalog-image/150/049/016/d4279973026444e59c534dff23812001.jpg,86.05,86.05,86.75,85.44,60.58
31,270K,Intel,Core Ultra 7,68821,LGA1851,512900,https://prod.danawa.com/info/?pcode=108424286&keyword=270K&cate=113973,https://img.danuri.io/catalog-image/286/424/108/99707b6716c34b4ca86d6b09e240bd54.jpeg,99.14,99.14,99.18,97.23,60.03
32,265,Intel,Core Ultra 7,49696,LGA1851,476000,https://prod.danawa.com/info/?pcode=69059723&keyword=265&cate=113973,https://img.danuri.io/catalog-image/723/059/069/0e0953994b2d48eebcdb524dc9b73469.jpg,86.59,86.59,87.26,85.93,60.02
33,265F,Intel,Core Ultra 7,49354,LGA1851,510580,https://prod.danawa.com/info/?pcode=74122937&keyword=265F&cate=113973,https://img.danuri.io/catalog-image/937/122/074/4cfb925ce5ff4d5fa05ef04f8dd7be03.jpg,86.37,86.37,87.05,85.73,60.02
34,265K,Intel,Core Ultra 7,58603,LGA1851,24650,https://prod.danawa.com/info/?pcode=100942430&keyword=265K&cate=16249155,https://img.danuri.io/catalog-image/430/942/100/bc172e2f2aaf4f38976552bc5c140140.jpg,92.44,92.44,92.82,91.2,60.71
